event_before,grade_before,url_before,latitude_before,longitude_before,phylum_before,subphylum_before,class_before,subclass_before,order_before,suborder_before,family_before,subfamily_before,supertribe_before,tribe_before,subtribe_before,genus_before,species_before,event_after,updated_after,grade_after,url_after,latitude_after,longitude_after,phylum_after,subphylum_after,class_after,subclass_after,order_after,suborder_after,family_after,subfamily_after,supertribe_after,tribe_after,subtribe_after,genus_after,species_after
before,needs_id,https://www.inaturalist.org/observations/129114293,-30.122835,115.15451,Tracheophyta,Angiospermae,Liliopsida,NA,Poales,NA,NA,NA,NA,NA,NA,NA,NA,after,2024-02-12,needs_id,https://www.inaturalist.org/observations/129114293,-30.122835,115.15451,Tracheophyta,Angiospermae,Liliopsida,NA,Poales,NA,Restionaceae,NA,NA,NA,NA,Lepidobolus,Lepidobolus quadratus
before,needs_id,https://www.inaturalist.org/observations/135082644,-30.17338606,115.2010785,Tracheophyta,Angiospermae,Magnoliopsida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,after,2024-02-12,research,https://www.inaturalist.org/observations/135082644,-30.17338606,115.2010785,Tracheophyta,Angiospermae,Magnoliopsida,NA,Ericales,NA,Ericaceae,Epacridoideae,NA,Styphelieae,NA,Leucopogon,Leucopogon plumuliferus
before,needs_id,https://www.inaturalist.org/observations/139295221,-30.19274167,115.2404556,Tracheophyta,Angiospermae,Magnoliopsida,NA,Asterales,NA,Stylidiaceae,NA,NA,NA,NA,NA,NA,after,2024-02-12,research,https://www.inaturalist.org/observations/139295221,-30.19274167,115.2404556,Tracheophyta,Angiospermae,Magnoliopsida,NA,Asterales,NA,Stylidiaceae,NA,NA,NA,NA,Stylidium,Stylidium torticarpum
before,needs_id,https://www.inaturalist.org/observations/143256476,-30.13330167,115.14901,Tracheophyta,Angiospermae,Magnoliopsida,NA,Proteales,NA,Proteaceae,Grevilleoideae,NA,Embothrieae,Hakeinae,Grevillea,Grevillea amplexans,after,2024-02-12,needs_id,https://www.inaturalist.org/observations/143256476,-30.13330167,115.14901,Tracheophyta,Angiospermae,Magnoliopsida,NA,Proteales,NA,Proteaceae,Grevilleoideae,NA,Embothrieae,Hakeinae,Grevillea,Grevillea uniformis
before,needs_id,https://www.inaturalist.org/observations/149523121,-30.17027197,115.2093398,Tracheophyta,Angiospermae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,after,2024-02-12,research,https://www.inaturalist.org/observations/149523121,-30.17027197,115.2093398,Tracheophyta,Angiospermae,Magnoliopsida,NA,Sapindales,NA,Rutaceae,Zanthoxyloideae,NA,NA,NA,Asterolasia,Asterolasia drummondii
before,needs_id,https://www.inaturalist.org/observations/149523329,-30.16958917,115.2111936,Tracheophyta,Angiospermae,Magnoliopsida,NA,Malvales,NA,Thymelaeaceae,NA,NA,NA,NA,Pimelea,NA,after,2024-02-12,needs_id,https://www.inaturalist.org/observations/149523329,-30.16958917,115.2111936,Tracheophyta,Angiospermae,Magnoliopsida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
before,needs_id,https://www.inaturalist.org/observations/16198487,-30.1744851,115.2004608,Tracheophyta,Angiospermae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,after,2024-02-12,needs_id,https://www.inaturalist.org/observations/16198487,-30.1744851,115.2004608,Tracheophyta,Angiospermae,Magnoliopsida,NA,Proteales,NA,Proteaceae,Grevilleoideae,NA,Embothrieae,Hakeinae,Hakea,Hakea neurophylla
before,needs_id,https://www.inaturalist.org/observations/164167932,-30.16964544,115.1969411,Tracheophyta,Angiospermae,Magnoliopsida,NA,Proteales,NA,Proteaceae,Grevilleoideae,NA,Banksieae,Banksiinae,Banksia,NA,after,2024-02-12,needs_id,https://www.inaturalist.org/observations/164167932,-30.16964544,115.1969411,Tracheophyta,Angiospermae,Magnoliopsida,NA,Proteales,NA,Proteaceae,Grevilleoideae,NA,Banksieae,Banksiinae,Banksia,Banksia tricuspis
before,needs_id,https://www.inaturalist.org/observations/17950081,-30.16817574,115.2016517,Tracheophyta,Angiospermae,Magnoliopsida,NA,Malvales,NA,Thymelaeaceae,NA,NA,NA,NA,Pimelea,NA,after,2024-02-12,research,https://www.inaturalist.org/observations/17950081,-30.16817574,115.2016517,Tracheophyta,Angiospermae,Magnoliopsida,NA,Ericales,NA,Ericaceae,Epacridoideae,NA,Styphelieae,NA,Leucopogon,Leucopogon plumuliferus
before,needs_id,https://www.inaturalist.org/observations/180583665,-30.2519424,115.0914944,Tracheophyta,Angiospermae,Magnoliopsida,NA,Caryophyllales,NA,Montiaceae,NA,NA,NA,NA,NA,NA,after,2024-02-12,needs_id,https://www.inaturalist.org/observations/180583665,-30.2519424,115.0914944,Tracheophyta,Angiospermae,Magnoliopsida,NA,Caryophyllales,NA,Montiaceae,NA,NA,NA,NA,Calandrinia,NA
