taxon,expert,during_event,zone,url,original_grade,original_rank,expert_id_rank,original_id,expert_id,expert_and_original_same_parent,confirmed_id,refined_id,own_observation_correct,corrected_id,coarsened,wrong_taxon,prevailing_id_exception,notes,correct_during_event
Apiales,Andrew Perkins,before,Lesueur,https://www.inaturalist.org/observations/132756385,Needs ID,coarser than species,coarser than species,Trachymene,Trachymene,yes,1,,,,,,,,1
Apiales,Andrew Perkins,before,Kalbarri,https://www.inaturalist.org/observations/132524020,Needs ID,coarser than species,coarser than species,Trachymene,Trachymene,yes,1,,,,,,,,1
Apiales,Andrew Perkins,before,Lesueur,https://www.inaturalist.org/observations/129659234,Needs ID,coarser than species,coarser than species,Apiaceae,Trachymene,no,,1,,,,,,,1
Apiales,Andrew Perkins,before,Kalbarri,https://www.inaturalist.org/observations/132523992,Needs ID,coarser than species,coarser than species,Apiaceae,Trachymene,no,,1,,,,,,,1
Apiales,Andrew Perkins,before,Kalbarri,https://www.inaturalist.org/observations/132124581,Needs ID,coarser than species,coarser than species,Araliaceae,Trachymene,yes,,1,,,,,,,1
Apiales,Andrew Perkins,before,Fitzgerald,https://www.inaturalist.org/observations/187875332,Needs ID,coarser than species,species or finer,Araliaceae,Platysace compressa,no,,1,,,,,,,1
Apiales,Andrew Perkins,before,Fitzgerald,https://www.inaturalist.org/observations/4985840,Needs ID,coarser than species,species or finer,Apiaceae,Platysace compressa,yes,,1,,,,,,,1
Apiales,Andrew Perkins,before,Fitzgerald,https://www.inaturalist.org/observations/4985810,Needs ID,coarser than species,species or finer,Apiaceae,Platysace compressa,yes,,1,,,,,,,1
Apiales,Andrew Perkins,before,Kalbarri,https://www.inaturalist.org/observations/1038185,Needs ID,coarser than species,species or finer,Pittosporum,Pittosporum angustifolium,yes,,1,,,,,,,1
Apiales,Andrew Perkins,before,Fitzgerald,https://www.inaturalist.org/observations/187875250,Needs ID,coarser than species,species or finer,Platysace,Platysace compressa,yes,,1,,,,,,,1
Apiales,Andrew Perkins,before,Fitzgerald,https://www.inaturalist.org/observations/194613310,Needs ID,coarser than species,species or finer,Platysace,Platysace compressa,yes,,1,,,,,,,1
Apiales,Andrew Perkins,before,Fitzgerald,https://www.inaturalist.org/observations/190480169,Needs ID,coarser than species,species or finer,Apium,Apium prostratum,yes,,1,,,,,,,1
Apiales,Andrew Perkins,before,Fitzgerald,https://www.inaturalist.org/observations/188995367,Needs ID,coarser than species,species or finer,Xanthosia,Xanthosia huegelii,yes,,1,,,,,,,1
